Title,Description,Start date,Status of project,Proposal type,Superseded by,Research (funding and structure),Open or closed,Push or pull,Target area,Disease,Region,Key people/organisations,Website,Links to key documents
Service-availability premiums,A system where a developer is remunerated on the basis of service performance in view of the user’s desired needs rather than for selling a specific product,2015,Proposed,Proposal,-,Remuneration rights,Closed,Pull,Targeted,Antibiotics,-,"BAE, Chatham House, Ella Jaczynska, Kevin Outterson, Jorge Mestre-Ferrandiz",-,http://drive-ab.eu/wp-content/uploads/2014/09/Business-Model-Options-for-Antibiotics-learning-from-other-industries.pdf
International Dispensary Association (IDA),A procurer which bulk buys medicines to sell them on more cheaply,1972,Operational,Proposal,-,Monopoly rights,Closed,Pull,Essential medicines,-,International,"selected as the procurement agent for the Global Drug Facility (GDF) in 2007, and later for the Global Fund's Pooled Procurement Mechanism, in 2012",https://www.idafoundation.org/who-we-are,https://www.idafoundation.org/media/wysiwyg/IDA_general_factsheet.pdf
Global Drug Facility (GDF),"A procurement mechanism for TB drugs, which lowers prices via international tendering mechanisms, pooled demand and systematized forecasting",2001,Operational,Proposal,-,Monopoly rights,Closed,Pull,Targeted,TB,International,"Stop TB Partnership, WHO","http://www.stoptb.org/gdf/whatis/default.asp
http://www.who.int/bulletin/volumes/85/5/06-035402/en/",-
Health Product Research and Development Fund [WHO],"A pooled fund proposed to the WHO for Type II and III diseases, which would allocate funding to health product R&D based on evidence-based processes.",2016,Proposed,Proposal,-,Mixed,Open,Mixed,Targeted,NDs,International,"WHO, TDR, Rob Terry, Pierro Olliaro",http://www.who.int/tdr/news/2016/funding_managing_health_product_R_D/en/,http://www.who.int/tdr/publications/r_d_report/en/
Longitude Prize,a £10m prize for developing an affordable point–of–care diagnostic test that will conserve antibiotics. Also gives out seed funding.,2014,Operational,Proposal,-,Mixed,Closed,Mixed,Targeted,"Antibiotics, diagnostics",International,"Nesta, Innovate UK",https://longitudeprize.org/,-
LPAD PLus,The LPAD faster approval system for antibiotics combined with a monetary prize in return for conservation commitments and marginal cost pricing,2014,Proposed,Proposal,-,Mixed,Closed,Pull,Targeted,Antibiotics,US,Ken Outterson,-,https://www.chathamhouse.org/sites/files/chathamhouse/public/Research/Global%20Health/0214SustainableAntibiotics.pdf
AMR Review,Proposes a Global Innovation Fund of $2bn over 5 years for early-stage and non-commercial research; and a system of market entry rewards of around one billion USD per drug for effective treatments. All of the proposed mechanisms should apply to vaccines and alternatives as well as antibiotics. Supports delinkage.,2014,Proposed,Proposal,-,Mixed,Open,Mixed,Targeted,Antibiotics,International,"Jim O'Neill, The Review on AMR. sponsored by the Wellcome Trust and the UK Department of Health. Endorsed by BEAM Alliance",https://amr-review.org/,https://amr-review.org/sites/default/files/160525_Final%20paper_with%20cover.pdf
GUARD,"Proposal for the creation of a  Global Union for Antibiotics Research and Development (GUARD) which would administer a Global Research Fund and a Global Development Fund, each of $200 million; and a Global Launch Reward of  $1 billion per commercialized product.",2017,Proposed,Proposal,-,Mixed,Closed,Mixed,Targeted,Antibiotics,International," written by The Boston Consulting Group (BCG) for the German Federal Ministry of Health in follow up to a 2015 report. There is some discussion of this surrounding the G20.
",-,https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/5_Publikationen/Gesundheit/Berichte/GUARD_Follow_Up_Report_Full_Report_final.pdf
Australian All you can Treat Hep C contract,"A volume-based pricing agreement to treat 62,000 people at a cost of AUS$1 billion over five years.",2015,Operational,Proposal,-,Mixed,Closed,Pull,Targeted,Hep C,Australia,Australian government,http://www.aidsmap.com/Australia-shows-an-alternative-to-rationing-hepatitis-C-treatment/page/3061523,http://www.eatg.org/wp-content/uploads/2016/10/Glasgow_AndrewHill_Oct23SHOW.pdf
AIFM - Antibiotic Innovation Funding Mechanism ,"A fund awarding grants and various prizes, combined with a tax on antibiotic use.",2013,Proposed,Proposal,-,Mixed,Open,Mixed,Targeted,Antibiotics,-,Love presented to the WHO.,https://www.keionline.org/amr/aifm,http://www.who.int/phi/implementation/7_summary_EN.pdf
GHIF - Global Health Investment Fund,"A $108 million social impact investment fund designed to provide financing to advance the development of drugs, vaccines, diagnostics and other interventions against diseases that disproportionately burden low- and middle-income countries",2013,Operational,Proposal,-,Monopoly patents,Closed,Push,Targeted,NDs,International,JPMorgan Chase & Co. and the Bill & Melinda Gates Foundation,http://www.ghif.com/,-
Antibiotics as Public Goods,"Milestone monetary prizes for early-stage antibiotic discovery, nonexclusive licensing for promising antibiotics, and an open source platform to share intellectual property, data, and clinical results
",2014,Proposed,Proposal,-,Prizes,Open,Pull,Targeted,Antibiotics,International,submitted to the WHO,-,http://www.who.int/phi/implementation/establishing_drug_discovery_platform_antibiotics_public_goods.pdf
TB Prize Fund,"A proposal to the WHO for a prize system for TB, incorporating product prizes, technical challenge prizes and best contribution prizes",2009,Proposed,Proposal,-,Prizes,Open,Pull,Targeted,TB,International,"Barbados, Bolivia, WHO,",-,https://www.keionline.org/misc-docs/b_b_igwg/prop1_tb_prize.pdf
Donor Prize Fund,"An optional innovation prize fund, funded by a percentage of donor outlays on drugs for HIV/AIDS and perhaps other diseases, where the prize is linked to the licensing of patents and other intellectual property to generic suppliers
",2009,Proposed,Proposal,-,Prizes,Open,Pull,Comprehensive,-,International," Bangladesh, Barbados, Bolivia and Suriname, EWG, WHO",-,"http://www.who.int/phi/news/phi_2_kei_prizes_cewg_22june2011_en.pdf
https://www.wcl.american.edu/pijip/go/innovation-litsurvey"
Chatham House Report,A report proposing the creation of a global secretariat to coordinate domestic expenditure and perhaps create a pooled fund. Advocated the delinkage of R&D costs and sales volume and delinked payments to qualifying products. Critical of market exclusivity as an incentive.,2015,Proposed,Proposal,-,Remuneration rights,Open,Pull,Targeted,Antibiotics,International,Chatham House,-,https://www.chathamhouse.org/publication/towards-new-global-business-model-antibiotics-delinking-revenues-sales
PDP+ Fund,"A fund allocated to R&D into neglected diseases, which awards remuneration to innovators on condition of pro-access measures.",2010,Proposed,Proposal,-,Remuneration rights,Open,Pull,Targeted,-,International,"Novartis, George Institute, IAVI, Wong, Moran, Herrling",https://sciencespeaks.wordpress.com/2010/05/17/the-pdp-fund-accelerating-rd-in-new-products-for-diseases-of-poverty/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed:+ScienceSpeaksHivTbNews+%28Science+Speaks:+HIV+%26+TB+News%29&utm_content=Yahoo!+Mail,-
Meningitis Vaccine Project,"A PDP to develop a meningitis vaccine,",2001,Completed,Proposal,-,Grants,Closed,Push,Targeted,Meningitis,Africa,WHO and PATH,http://www.meningvax.org/,-
Human Hookworm Vaccine Initiative,A PDP to develop a hookworm vaccine.,2000,Completed,Proposal,-,Grants,Closed,Push,Targeted,Hookworm,International,"Sabin, Texas Children’s Hospital Center for Vaccine Development at Baylor College of Medicine in Houston, Texas",http://www.sabin.org/programs/hookworm,-
"2004 agreement between the International Partnership for Microbicides and Tibotec Pharmaceuticals, a Belgian subsidiary of pharmaceutical company Johnson & Johnson, to develop a microbicide to protect women from infection with HIV",An agreement to develop a microbicide to protect women from HIV infection.,2004,Completed,Proposal,-,Grants,Closed,Push,Targeted,HIV,Africa,"IPM, Tibotec Pharmaceuticals Ltd., a subsidiary of
Johnson & Johnson",-,http://www.ipmglobal.org/sites/default/files/FINAL%20English%20Annual%20Report%20-%20low%20res.pdf
CD4 Initiative,An initiative to develop an easy to use point-of-care test,2005,Completed,Proposal,-,Grants,Closed,Push,Targeted,HIV,International,"Imperial College London, Gates",http://www3.imperial.ac.uk/newsandeventspggrp/imperialcollege/newssummary/news_17-2-2009-8-47-9,-
"Global Fund to Fight AIDS, TB and Malaria","A partnership which mobilises and invests nearly $4bn annually in AIDS, TB and malaria.",2002,Operational,Proposal,-,Grants,Closed,Push,Targeted,"AIDS, TB and Malaria",International,WHO,https://www.theglobalfund.org/en/,-
Medical Research Future Fund (MRFF),A $7bn investment fund set up by the Australian government using savings from the health department which funds medical R&D.,2015,Operational,Proposal,-,Grants,Closed,Push,Comprehensive,-,Australia,"Australian government,","http://researchaustralia.org/reports/mrff-research-australia-perspective/
https://www.legislation.gov.au/Details/C2016C00406",-
CEPI - Coalition for Epidemic Preparedness Innovation,A fund for the creation of vaccines for potential epidemic diseases.,2017,Operational,Proposal,-,Grants,Closed,Push,Targeted,Epidemics,International,"Germany, Japan and Norway, plus the Bill&Melinda Gates Foundation and the Wellcome Trust. In addition the European Commission
",http://cepi.net/,http://cepi.net/sites/default/files/CEPI_2pager_27_Apr_17.pdf
Drugs for Neglected Diseases Initiative,An R&D institution which also invests in capacity building and campaigns for delinkage,2003,Operational,Organisation,-,Grants,Open,Push,Targeted,NDs,International,"the Oswaldo Cruz Foundation from Brazil, the Indian Council for Medical Research, the Kenya Medical Research Institute, the Ministry of Health of Malaysia and France’s Pasteur Institute; one humanitarian organisation, Médecins sans Frontières (MSF, cofounder); and one international research organisation, the UNDP / World Bank / WHO’s Special Programme for Research and Training in Tropical Diseases (TDR",https://www.dndi.org/,http://www.who.int/phi/implementation/GlobalAntibioticRD_Facility_13Nov2015_MeetingReport.pdf?ua=1
GARDP - Global Antibiotic Research and Development Partnership,An initiative to fund the development of antibiotics in cases where there is resistance or inadequate treatment.,2016,Operational,Organisation,-,Grants,Closed,Push,Targeted,Antibiotics,International,"WHO, DNDI",https://www.gardp.org/,-
CARB - national action plan for combating antibiotic resistant bacteria,"An action plan including among other things the creation of a biopharmaceutical incubator to stimulate innovation, the creation of a shared database on AMR, and the funding of antibiotic development.",2015,Operational,Strategy,-,Grants,Closed,Push,Targeted,Antibiotics,US,"Obama administration,  interagency Task Force for Combating Antibiotic-Resistant Bacteria; written in response to the PCAST report",https://obamawhitehouse.archives.gov/the-press-office/2015/03/27/fact-sheet-obama-administration-releases-national-action-plan-combat-ant,https://www.cdc.gov/drugresistance/pdf/national_action_plan_for_combating_antibotic-resistant_bacteria.pdf
Biomedical Advanced Research and Development Authority (BARDA)'s Broad Spectrum Antimicrobials (BSA) programme,"A body creating PDPs, and providing grants and technical support for the develpment of antibiotics.",2010,Operational,Organisation,-,Grants,Closed,Push,Targeted,Antibiotics,US,"BARDA, BSA",https://www.phe.gov/ASPRBlog/Lists/Posts/Post.aspx?ID=97,http://www.who.int/phi/implementation/7_infobrief_brada_partnering_model_innovative_models_enhance_antibiotic_development.pdf?ua=1
Lygature,A PDP.,2016,Operational,Organisation,-,Grants,Closed,Push,Comprehensive,-,International,Netherlands,http://lygature.org/,-
EVI - European Vaccine Initiative,A PDP focused on vaccines.,2011,Operational,Organisation,-,Grants,Closed,Push,Targeted,-,International,"University of Stockholm, Heidelberg",http://www.euvaccine.eu/,-
FIND - Foundation for Innovative New Diagnostics,A PDP working on the development and delivery of diagnostic tests for poverty-related diseases.,2003,Operational,Organisation,-,Grants,Closed,Push,Targeted,Diagnostics for NDs,International,WHO,https://www.finddx.org/,-
IAVI - International AIDS Vaccine Initiative,A PDP working on AIDs.,1996,Operational,Proposal,-,Grants,Closed,Push,Targeted,AIDs,International,Rockefeller,https://www.iavi.org/,-
IDRI - Infectious Disease Research Institute,A PDP focused on infectious diseases.,1993,Operational,Organisation,-,Grants,Closed,Push,Targeted,Infectious diseases,International,"Bill & Melinda Gates Foundation
National Institutes of Health
Eli Lilly & Co.
Paul G. Allen Family Foundation
Wellcome Trust
M.J. Murdock Charitable Trust
GlaxoSmithKline
American Leprosy Missions
World Health Organization
BARDA/DARPA",http://www.idri.org/,-
International Partnership for Microbicides,A PDP focused on HIV.,2002,Operational,Organisation,-,Grants,Closed,Push,Targeted,HIV,International,-,https://www.ipmglobal.org/,-
IVCC,A PDP focused on insect borne diseases.,2005,Operational,Organisation,-,Grants,Closed,Push,Targeted,Insect borne diseases,International,"Gates, Sweden, UK, UNITAID, USAID, Wellcome",http://www.ivcc.com/,-
Malaria Vaccine Initiative,A PDP for malaria vaccines which is part of PATH.,1999,Operational,Proposal,-,Grants,Closed,Push,Targeted,Malaria,International,"PATH, Gates",http://www.malariavaccine.org/,-
MMV - Medicines for Malaria Venture,A PDP for developing antimalarial drugs.,1999,Operational,Organisation,-,Grants,Closed,Push,Targeted,Malaria,International,"Switzerland, DFID, World Bank, Rockefeller, Netherlands",https://www.mmv.org/,-
TB Alliance,A PDP working on TB.,2000,Operational,Organisation,-,Grants,Closed,Push,Targeted,TB,International,"Gates, Australia, Ireland, Germany, UK, US, GHIT, Indonesia, NIAID, Netherlands, UNITAID, FDA",https://www.tballiance.org/,-
TBVI - TB Vaccine Initiative,A PDP focusing on TB vaccines.,2008,Operational,Proposal,-,Grants,Closed,Push,Targeted,TB,International,"European Commission, DFID, Norway, Biofabri, Australia, South Korea, Switzerland",http://www.tbvi.eu/,-
GDAC - Global Dengue & Aedes-Transmitted Diseases Consortium,A consortium committed to the prevention of dengue which provides scientific forums and policy advice,2016,Operational,Organisation,-,Grants,Closed,Push,Targeted,Dengue,International,"Partnership for Dengue Control (PDC), the International Vaccine Institute (IVI), the International Vaccine Access Center (IVAC) at the Johns Hopkins Bloomberg School of Public Health and the Sabin Vaccine Institute, WHO",http://preventdengue.org/,-
IVI - International Vaccine Institute,"A non-profit which conducts research, partnerships and capabity building in the field of infectious diseases of the poor.",1997,Operational,Organisation,-,Grants,Closed,Push,Targeted,Infectious diseases of the poor,International,UNDP,http://www.ivi.int/,-
WHO’s Tropical Disease Research,A programme of scientific collaboration focused on diseases of poverty.,1974,Operational,Organisation,-,Grants,Closed,Push,Targeted,Tropical disease,International,"WHO, UNICEF, UNDP, World Bank",http://www.who.int/tdr/en/,-
Aeras Global TB Vaccine Foundation,A non-profit which funds and runs trials and research with the aim of creating TB vaccines.,2005,Operational,Organisation,-,Grants,Closed,Push,Targeted,TB,Africa and Asia,"Gates Foundation, European governments, US National Institute of Allergy and Infectious Diseases and National Institutes of Health, the Global Health Innovative Technology Fund",http://www.aeras.org/,-
ANDI,A network supporting R&D in Africa through funding and capacity building.,2008,Operational,Organisation,-,Grants,Closed,Push,Comprehensive,-,Africa,-,http://www.andi-africa.org/index.php,-
Pandemic Influenza Preparedness Framework,A global framework adopted at the WHO to share information and viruses and to commit industry to contribute to a fund.,2011,Operational,Proposal,-,Grants,Closed,Push,Targeted,Influenza,International,WHO,http://www.who.int/influenza/pip/en/,http://www.who.int/influenza/pip/WHO_PIP_brochure.pdf?ua=1
PATH,"A non-profit which creates partnerships in the areas of vaccines, drugs, diagnostics, devices, and system and service innovations.",1977,Operational,Organisation,-,Grants,Closed,Push,Comprehensive,Diagnostics,International,"WHO, UNICEF, UNFPA",http://www.path.org/about/index.php,-
Global Vaccine Development Fund,A proposal to create a $2bn fund via government donations and tax incentives to fund vaccine development.,2015,Proposed,Proposal,-,Grants,Closed,Push,Targeted,Vaccines,International,"Plotkin, Farrar, Adel",-,"Plotkin, Stanley A., Adel A. F. Mahmoud, and Jeremy Farrar. “Establishing a Global Vaccine-Development Fund.” The New England Journal of Medicine 373, no. 4 (2015): 297–300. doi:10.1056/NEJMp1506820."
"Building a Diagnostic Innovation Platform to Address Antibiotic Resistance (Dx
Platform)
",A proposal to use upfront public funding in exchange for an end-product diagnostic test for antibiotic resistance priced close to marginal cost ,2013,Proposed,Proposal,-,Grants,Open,Push,Targeted,Antibiotics,International,proposal to the WHO submitted by ReAct and Program on Global Health and Technology Access,-,http://www.who.int/phi/implementation/15.PDF
Insurance premiums,The government or individuals pay insurance premiums into a pot which is then spent on antibiotic R&D and conservation.,2015,Proposed,Proposal,-,Grants,Closed,Push,Targeted,Antibiotics,-,"Allianz, Chatham House, Ella Jaczynska, Kevin Outterson, Jorge Mestre-Ferrandiz",-,http://drive-ab.eu/wp-content/uploads/2014/09/Business-Model-Options-for-Antibiotics-learning-from-other-industries.pdf
PDP-FF - Product Development Partnership-Financing Facility,Donor-backed bond financing of PDPs,2008,Proposed,Proposal,-,Grants,Closed,Push,Comprehensive,-,International,"IAVI, KEI, James Love, WHO, Aeras",-,https://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwiP6fOap_TUAhWNzRoKHQcMAXQQFggvMAI&url=http%3A%2F%2Fkeionline.org%2Fsites%2Fdefault%2Ffiles%2FPDPFF_concept_note_dec_2009.doc&usg=AFQjCNHOMomBvC1QAl_SvRtW3EVsYgrQhQ
DVI - Dengue Vaccine Initiative,An initiative which conducted research and policy work to promote the development of a dengue vaccine.,2011,Superseded,Proposal,GDAC,Grants,Closed,Push,Targeted,Dengue,International,"WHO, SABIN, IVAC, IVI",http://www.denguevaccine.org/,-
PDVI - Pediatric Dengue Vaccine Initiative,An initiative which conducted research and policy work to promote the development of a dengue vaccine for children.,2001,Superseded,Proposal,GDAC,Grants,Closed,Push,Targeted,Dengue,International,"Gates, IVI",-,-
TI Pharma,A PDP which in 2016 merged with CTMM to become Lygature.,2006,Superseded,Organisation,Lygature,Grants,Closed,Push,Comprehensive,-,International,Netherlands,http://www.tipharma.com/home,-
iOWH - Institute for One World Health,A non-profit drug development organisation which is now part of PATH.,2000,Superseded,Organisation,PATH,Grants,Closed,Push,Targeted,-,International,PATH,-,-
PCAST Working Group,"Proposed 'doubling the current investment from $450 million to $900 million' and spending it in part through direct grant and an antibiotic incentive fund (AMCs and milestone prizes) and Global Challenge Inducement Prizes for the development of rapid, inexpensive, and clinically relevant diagnostics",2014,Proposed,Proposal,CARB,Mixed,Closed,Mixed,Targeted,Antibiotics,International,"Obama administration, PCAST working group",-,https://obamawhitehouse.archives.gov/sites/default/files/microsites/ostp/PCAST/pcast_carb_report_sept2014.pdf
EU Plan 2011-2015,An action plan including the fast tracking of antibiotics.,2011,Completed,Strategy,One Health Action Plan,Monopoly patents,Closed,Pull,Targeted,Antibiotics,International,European Commission,-,http://ec.europa.eu/dgs/health_food-safety/docs/communication_amr_2011_748_en.pdf
Limited Population Antibacterial Drug (LPAD) approval ,"a streamlined clinical trial process for novel antibiotics that allows the drug’s safety and efficacy to be studied based on substantially smaller, faster, and less expensive trials",2012,Operational,Proposal,-,Monopoly patents,Closed,Pull,Targeted,Antibiotics,US,IDSA,http://www.contagionlive.com/publications/contagion/2017/may2017/implications-of-the-21st-century-cures-act-on-antibiotic-drug-development,https://www.idsociety.org/uploadedFiles/IDSA/News_and_Publications/IDSA_News_Releases/2012/LPAD%20FAQs.pdf
International Financing Facility for Immunization (IFFIm),"A fund which raises money by selling vaccine bonds backed by donor commitments on the capital market, and then gives the money to GAVi, the vaccine alliance.",2006,Operational,Proposal,-,Monopoly patents,Closed,Push,Targeted,-,International,GAVI,http://www.iffim.org/About/Overview/,-
SAR - Strategic Antibiotic Reserve , a single or group of governments buy or license the patent for an important first-in-class antibiotic to keep the drug from being marketed,2009,Proposed,Proposal,-,Monopoly patents,Closed,-,Targeted,Antibiotics,US,Outterson,-,"Improving antibiotic markets for long-term sustainability.
 The legal ecology of resistance: the role of antibiotic resistance in
pharmaceutical innovation."
Essential Patent Pool for AIDS,A proposal to create a patent pool for AIDs drugs.,2005,Proposed,Proposal,Believe superseded by medicines patent pool (not formally but in its essence),Monopoly patents,Open,Pull,Targeted,AIDs,International,"Essential Inventions, James Love",http://www.bioendeavor.net/BDDirectory_2658.asp?itemId=10839&countryCode=CA,-
COV - Call Options for Vaccines ,A system where the purchaser buys the option to purchase a set number of pharmaceuticals at a date in the future at a discounted rate.,2006,Proposed,Proposal,OMA,Monopoly patents,Closed,Mixed,Either,-,-,Mossialos,,Applying the concepts of financial options to stimulate vaccine development.
Standard essential patents,"Proposes the use of 'standard essential patents’ (used in the telecom sector and also in environment technologies) to allow for mandatory licensing. Any patents which are deemed essential to fulfilling the protocol for a particular disease will be available for use by WHO approved manufacturers, who pay the patent-holder a royalty.",2016,Proposed,Proposal,-,Monopoly patents,-,Pull,Comprehensive,-,Developing countries,"HIgh level panel on acces to medicines, Chandni Raina, Centre for WTO Studies at the Indian Institute for Foreign Trade",-,http://www.unsgaccessmeds.org/inbox/2016/2/22/contributionchandni-rainaon-behalf-of-the-centre-for-wto-studies
Automatic License System (ALS),An Automatic License System as a TRIPS extension which would allow developing countries to automatically license patents relating to prescription drugs.,2016,Proposed,Proposal,-,Monopoly patents,-,Pull,Comprehensive,-,Developing countries,"HIgh level panel on acces to medicines, Mariano Genovesi, ALIFAR -ASOCIACIÓN LATINOAMERICANA DE INDUSTRIAS FARMACÉUTICAS",-,http://www.unsgaccessmeds.org/inbox/2016/3/8/mariano-genovesi
Magistral production,"A pilot scheme in Utrecht where hospital pharmacies produce personalised prescriptions locally, thus circumventing patent law and saving costs. Funded by insurance companies.",2017,Operational,Proposal,-,Monopoly patents,Closed,Push,Targeted,Biologics,Netherlands,Huub Schellekens,-,"Schellekens, Huub, Mohammed Aldosari, Herre Talsma, and Enrico Mastrobattista. “Making Individualized Drugs a Reality.” Nature Biotechnology advance online publication (2017). doi:10.1038/nbt.3888."
The Pool for Open Innovation against Neglected Tropical Diseases,"An information and patent pool focusing on drugs for NTDs, which then formed the basis of WIPO's Re:Search",2009,Superseded,Proposal,WIPO Re:Search,Monopoly patents,Open,Pull,Targeted,NTDs,International,"BIO Ventures for Global Health, GSK, Alnylam Pharmaceuticals",http://www.bioendeavor.net/BDDirectory_2658.asp?itemId=10839&countryCode=CA,-
Australian Democrats Prize Proposal ,"An optional, international public good patent scheme, where innovators are rewarded from a fund in relation to health impact.",2007,Proposed,Proposal,-,Remuneration rights,Open,Pull,Comprehensive,-,International,Australian Democrats Party,-,https://www.keionline.org/misc-docs/research_notes/kei_rn_2008_1.pdf